assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
27,18,41,0.0,5,62,25,Nichushkin,0,14,8477501,21,52,0.8387000000000001,R,5,9,20212022,2,2,0.13888,L,180,Valeri Nichushkin,COL,1141.5645
30,6,28,0.0,2,53,17,Nichushkin,0,2,8477501,15,47,0.8867900000000001,R,10,16,20222023,1,3,0.10759,L,158,Valeri Nichushkin,COL,1216.2641
14,11,25,0.4,3,65,13,Nichushkin,0,14,8477501,26,27,0.41538,R,1,1,20192020,1,1,0.11504,L,113,Valeri Nichushkin,COL,844.3692
11,9,19,0.33333,4,55,10,Nichushkin,1,4,8477501,9,21,0.38181000000000004,R,0,1,20202021,1,1,0.10204,L,98,Valeri Nichushkin,COL,844.8727
10,0,10,0.5,0,57,0,Nichushkin,0,0,8477501,-4,10,0.17543,R,0,0,20182019,0,0,0.0,L,65,Valeri Nichushkin,DAL,715.0175
37,27,50,0.37500000000000006,6,82,41,DeBrincat,4,19,8479337,-13,78,0.9512100000000001,R,14,28,20212022,0,0,0.15185,R,270,Alex DeBrincat,CHI,1251.378
35,28,52,0.45714000000000005,3,82,41,DeBrincat,1,15,8479337,0,76,0.9268200000000001,R,13,24,20182019,0,0,0.18636000000000003,R,220,Alex DeBrincat,CHI,1062.0
39,16,36,0.5263100000000001,6,82,27,DeBrincat,2,45,8479337,-31,66,0.8048700000000001,R,11,30,20222023,0,0,0.10266000000000002,R,263,Alex DeBrincat,OTT,1140.378
24,22,37,0.4,7,52,32,DeBrincat,3,12,8479337,3,56,1.07692,R,9,18,20202021,1,1,0.20645000000000002,R,155,Alex DeBrincat,CHI,1232.3846
27,8,29,0.35000000000000003,4,70,18,DeBrincat,1,15,8479337,-10,45,0.64285,R,10,16,20192020,0,0,0.08695000000000001,R,207,Alex DeBrincat,CHI,1049.6285
38,10,29,,4,80,13,Dobson,1,18,8480865,-3,51,0.6375000000000001,D,3,22,20212022,0,0,0.06842000000000001,R,190,Noah Dobson,NYI,1287.65
